Title,W&R_ID,Filename,Author,Company of First Production,Place_of_first_production,Date,earliest,latest,span,Date_of_publication,Genre,Metadata_source,Play-type,STC_or_WING,Version,DEEP_ID,STC-Wing,verse,prose,Primary_alternative
King Johan,64,KingJohan_1985,Bale John,NA,,1538,1538,1539,2,1985,History; moral,W&R,Private performance,NA,,NA,NA,"1,767",11,primary
Ralph Roister Doister,234,RalphRoisterDoister_1566,Udall Nicholas,NA,,1552,1550,1553,4,1566,Comedy,W&R,Interlude,24508,,71,24508,"2,014",0,primary
Gammer Gurton's Needle,253,GammerGurtonsNeedle_1575,Uncertain,NA,,1553,1551,1554,4,1575,Comedy,W&R,University,23263,,95,23263,"1,289",2,primary
Patient and Meek Grissel,350,PatientandMeekGrissel_1566,Phillip John,NA,,1559,1558,1566,9,1566,Comedy,W&R,Interlude,19865,,81,19865,"2,105",4,primary
Ferrex and Porrex,351,FerrexandPorrex_1565,Sackville Thomas,NA,,1562,,,1,1565,Tragedy,W&R,Inns of Court,18684,,59,18684,"1,796",2,primary
Damon and Pithias,389,DamonandPithias_1571,Edwards Richard,Children of the Chapel (first),,1564,1564,1565,2,1571,Tragicomedy,W&R,Boys Nonprofessional/School,7514,,89,7514,"1,869",48,primary
Appius and Virginia,432,AppiusandVirginia_1575,Uncertain,NA,,1564,1559,1567,9,1575,Classical Moral,W&R,Boys Nonprofessional/School (?),1059,,94,1059,969,0,primary
Tancred and Gismund,467,TancredandGismund_SilentReg_1591,Wilmot et al.,NA,,1567,1566,1569,4,1591,Tragedy,W&R,Inns of Court,25764,,138,25764,"1,565",0,primary
Clyomon and Clamydes,634,ClyomonandClamides_1599,Uncertain,Queen Elizabeth's Men,,1570,1570,1593,24,1599,Heroical Romance,W&R,Adult Professional,5450a,,276,5450a,"2,088",4,primary
Three Ladies of London,700,ThreeLadiesofLondon_1584,Wilson Robert,Leicester's Men,,1581,,,1,1584,Moral,W&R,Adult Professional,25784,,119,25784,"1,632",33,primary
Rare Triumphs of Love and Fortune,734,RareTriumphs_1589,Uncertain,Derby's (Strange's) Men,,1582,,,1,1589,Mythological Moral,W&R,Adult Professional,24286,,127,24286,"1,643",54,primary
Campaspe,746,Campaspe_1632_PV,Lyly John,Children of the Chapel (first);Children of Paul's (first),,1583,,,1,1632,Classical Legend (Comedy),W&R,Boys Professional,17088,,5098.02,17088,43,"1,612",primary
Fedele and Fortunia,747,FedeleandFortunia_1585,Munday Anthony (?),NA,,1584,1579,1584,6,1585,Comedy,W&R,Private; Translation,19447,,121,19447,"1,501",56,primary
Arraignment of Paris,751,ArraignmentofParis_1584,Peele George,Children of the Chapel (first),,1581,1581,1584,4,1584,Classical Legend (Pastoral),W&R,Boys Professional,19530,,114,19530,"1,266",1,primary
Sappho and Phao,753,SapphoAndPhao_1584,Lyly John,Children of the Chapel (first);Children of Paul's (first),,1583,,,1,1584,Classical Legend (Comedy),W&R,Boys Professional,17086,,111,17086,73,"1,602",primary
Gallathea,754,Gallathea_1592,Lyly John,Children of Paul's (first),,1585,1584,1585,2,1592,Classical Legend (Comedy),W&R,Boys Professional,17080,,140,17080,39,"1,628",primary
Famous Victories of Henry the Fifth,773,FamousVictories_1598,Uncertain,Queen Elizabeth's Men,,1586,1583,1587,5,1598,History,W&R,Adult Professional,13072,,252,13072,9,"1,572",primary
Spanish Tragedy,783,SpanishTragedy_SilentReg_1592,Kyd Thomas,Derby's (Strange's) Men,,1587,1585,1591,7,1592,Tragedy,W&R,Adult Professional,15086,,150,15086,"2,600",137,primary
Spanish Tragedy 1602,783,Spanish_Tragedy1602,Kyd Thomas,Derby's (Strange's) Men,,1587,1585,1591,7,1602,Tragedy,W&R,Adult Professional,15086,,150,15086,"2,600",137,alternative
1 Tamburlaine the Great,784,1Tamburlaine_SilentReg_1590,Marlowe Christopher,Admiral's (Nottingham's) Men,,1587,,,1,1590,Heroical Romance,W&R,Adult Professional,17425,,5017.01,workind,"2,221",96,primary
Alphonsus King of Aragon,788,Alphonsus_1599,Greene Robert,unknown,,1587,1587,1589,3,1599,Heroical Romance,W&R,Adult Professional,12233,,275,12233,"1,934",1,primary
2 Tamburlaine the Great,789,2Tamburlaine_1590,Marlowe Christopher,Admiral's (Nottingham's) Men,,1588,,,1,1590,Heroical Romance,W&R,Adult Professional,17425,,5017.02,17425,"2,254",82,primary
Endymion the Man in the Moon,794,Endymion_1591,Lyly John,Children of Paul's (first),,1588,1585,1588,4,1591,Classical Legend (Comedy),W&R,Boys Professional,17050,,133,17050,58,"2,198",primary
Soliman and Perseda,799,SolimanandPerseda_1592,Kyd Thomas,Uncertain,,1592,1588,1589,2,1592,Tragedy,W&R,Adult Professional,22894,,147,22894,"1,835",435,primary
Wounds of Civil War,802,WoundsofCivilWar_1594,Lodge Thomas,Admiral's (Nottingham's) Men,,1588,1587,1588,2,1594,Classical History,W&R,Adult Professional,16678,,188,16678,"2,444",119,primary
Doctor Faustus,810,DoctorFaustus_1604,Marlowe Christopher,Admiral's (Nottingham's) Men,,1592,1587,1589,3,1604,Tragedy,W&R,Adult Professional,17429,,369,17429,809,654,primary
Dr Faustus 1616,810,doctor_faustus_1616_no_foreign.txt,Marlowe Christopher,Admiral's (Nottingham's) Men,,1592,1587,1589,3,1616,Tragedy,W&R,Adult Professional,17429,,369,17429,809,654,alternative
Battle of Alcazar,811,BattleofAlcazar_1594,Peele George,Admiral's (Nottingham's) Men,,1589,1588,1589,2,1594,Foreign History,W&R,Adult Professional,19531,,195,19531,"1,447",7,primary
Wars of Cyrus,813,WarsofCyrus_1594,Uncertain,Children of the Chapel (first),,1588,1587,1590,4,1594,Classical History,W&R,Boys Professional,6160,,205,6160,"1,697",22,primary
Woman in the Moon,819,WomanintheMoon_1597,Lyly John,unknown,,1593,1587,1590,4,1597,Comedy,W&R,Boys Professional,17090,,239,17090,"1,404",174,primary
Dido Queen of Carthage,820,Dido_SilentReg_1594,Marlowe and Nashe,Children of the Chapel (first),,1586,1587,1589,3,1594,Tragedy,W&R,Boys Professional,17441,,196,17441,"1,256",0,primary
Three Lords and Three Ladies of London,821,ThreeLordsandThreeLadies_1590,Wilson Robert,Queen Elizabeth's Men,,1588,1588,1590,3,1590,Moral,W&R,Adult Professional,25783,,128,25783,"1,321",916,primary
Friar Bacon and Friar Bongay,822,FriarBacon_1594,Greene Robert,Queen Elizabeth's Men,,1589,1588,1592,5,1594,Comedy,W&R,Adult Professional,12267,,185,12267,"1,641",444,primary
2 Troublesome Reign of King John,824,TroublesomeReignofKingJohn_1591,Uncertain,Queen Elizabeth's Men,,1591,1587,1591,5,1591,History,W&R,Adult Professional,14644 (pt. 2),,135,14644 (pt. 2),"2,525",281,primary
Mother Bombie,826,MotherBombie_1594,Lyly John,Children of Paul's (first),,1591,1587,1590,4,1594,Comedy,W&R,Boys Professional,17084,,192,17084,108,"2,049",primary
Jew of Malta,828,JewofMalta_SilentReg_1633,Marlowe Christopher,Queen Henrietta Maria's Men,,1589,1589,1590,2,1633,Tragedy,W&R,Adult Professional,17412,,812,17412,"1,822",466,primary
Looking Glass for London and England,829,LookingGlass_1598,Greene and Lodge,Derby's (Strange's) Men,,1588,1589,1591,3,1598,Biblical Moral,W&R,Adult Professional,16680,,175,16680,"1,512",774,primary
Midas,835,Midas_1592,Lyly John,Children of Paul's (first),,1589,1589,1590,2,1592,Comedy,W&R,Boys Professional,17083,,141,17083,101,"1,798",primary
King Leir,838,KingLeir_1605,Uncertain,Queen Elizabeth's Men,,1590,1586,1594,9,1605,Legendary History,W&R,Adult Professional,15343,,390,15343,"2,345",224,primary
True Tragedy of Richard the Third,839,TrueTragedyofRichardIII_1594,Uncertain,Queen Elizabeth's Men,,1591,1588,1591,4,1594,History,W&R,Adult Professional,21009,,194,21009,"1,055","1,109",primary
Love's Metamorphosis,841,LovesMetamorphosis_1601,Lyly John,Children of Paul's (first); Children of the Chapel (second),,1590,1585,1590,6,1601,Pastoral,W&R,Boys Professional,17082,,317,17082,0,"1,312",primary
Arden of Faversham,846,ArdenofFaversham_SilentReg_1592,Uncertain,unknown,,1591,1587,1592,6,1592,Tragedy,W&R,Adult Professional,733,,142,733,"1,993",464,primary
Fair Em,852,FairEm_1591,Uncertain,Derby's (Strange's) Men,,1590,1589,1591,3,1591,Romantic Comedy,W&R,Adult Professional,7675,,164,7675,"1,004",470,primary
James the Fourth,854,JamesIV_1598,Greene Robert,unknown,,1590,1588,1592,5,1598,History,W&R,Adult Professional,12308,,255,12308,"1,782",562,primary
Jack Straw,855,JackStraw_1593,Uncertain,unknown,,1590,1580,1593,14,1594,History,W&R,Adult Professional,,,,,697,216,primary
Antonius,865,Antonius_V_1595,Sidney Mary,NA,,1590,,,1,1595,Tragedy,W&R,Closet Translation,11623,,146,11623,"2,000",0,primary
John a Kent and John a Cumber,866,JohnaKentJohnaCumber_1923,Munday Anthony,Uncertain,,1590,1585,1596,12,1923,Comedy,W&R,Adult Professional,Malone Soc,,NA,Malone Soc,"1,447",159,primary
Love of David and Fair Bathsheba,870,LoveofKingDavidandFairBethsabe_SilentReg_1599,Peele George,unknown,,1594,1584,1594,11,1599,Biblical History,W&R,Adult Professional,19540,,280,19540,"1,906",11,primary
Orlando Furioso,876,OrlandoFurioso_1594,Greene Robert,unknown,,1591,1588,1592,5,1594,Romantic Comedy,W&R,Adult Professional,12265,,189,12265,"1,191",288,primary
Edward the First,881,EdwardI_1593,Peele George,unknown,,1591,1590,1593,4,1593,History,W&R,Adult Professional,19535,,162,19535,"1,883",833,primary
Mucedorus,884,Mucedorus_1598,Uncertain,unknown,Court,1591,1590,1598,9,1598,Romance,W&R,Adult Professional,18230,Q1,,18230,NA,NA,primary
Mucedorus,884,Mucedorus_1610,Uncertain,Kings Men,Whitehall Palace,1591,1590,1598,9,1610,Romance,W&R,Adult Professional,18232,Q3,,18232,876,555,primary
Locrine,885,Locrine_1595,Uncertain,Unknown,,1591,1590,1594,5,1595,Tragedy,W&R,Adult Professional,21528,,,,"1,798",294,primary
2 Henry the Sixth,888,2HenryVI_1623,Shakespeare and others,Pembroke's Men,,1591,1587,1592,6,1623,History,W&R,Adult Professional,22273,F1,5081.21,22273,"2,599",497,primary
2 Henry VI Q1,888,2HenryVI_1594,Shakespeare and others,Pembroke's Men,,1591,1587,1592,6,1594,History,W&R,Adult Professional,22273,F1,5081.21,22273,"2,599",497,alternative
George a Green,893,GeorgeaGreene_1599,Uncertain,Sussex's Men,,1590,1587,1592,6,1599,Romantic Comedy,W&R,Adult Professional,12212,,277,12212,861,372,primary
3 Henry the Sixth,902,3HenryVI_1623,Shakespeare and others,Pembroke's Men,,1591,1587,1592,6,1623,History,W&R,Adult Professional,22273,F1,5081.22,22273,"2,873",28,primary
3 Henry VI Q1,902,3HenryVI_1595,Shakespeare and others,Pembroke's Men,,1591,1587,1592,6,1595,History,W&R,Adult Professional,22273,F1,5081.22,22273,"2,873",28,alternative
1 Selimus,904,1Selimus_SilentReg_1638,Uncertain,Queen Elizabeth's Men,,1592,1591,1594,4,1638,Heroical Romance,W&R,Adult Professional,12310b,,204,12310b,"2,343",73,primary
John of Bordeaux,908,JohnofBordeaux_1936_HandShiftfree,Uncertain,Lord Strange's Men (?),,1591,1589,1594,6,1936,Romance,W&R,Adult Professional,Malone Soc,,NA,Malone Soc,"1,243",180,primary
Old Wives Tale,913,OldWivesTale_1595,Peele George,Queen Elizabeth's Men,,1590,1588,1595,8,1595,Romance,W&R,Adult Professional,19545,,211,19545,305,772,primary
Taming of the Shrew,916,TamingoftheShrew_1623,Shakespeare William,unknown,,1591,1589,1592,4,1623,Comedy,W&R,Adult Professional,22273,F1,5081.11,22273,"1,987",607,primary
1 Henry the Sixth,919,1HenryVI_1623,Shakespeare and others,Derby's (Strange's) Men,,1592,,,1,1623,History,W&R,Adult Professional,22273,F1,5081.2,22273,"2,649",27,primary
Cobbler's Prophecy,920,CobblersProphecy_1594,Wilson Robert,unknown,,1590,1589,1593,5,1594,Comedy,W&R,Adult Professional,25781,,191,25781,"1,106",391,primary
Edward the Second,927,EdwardII_1594,Marlowe Christopher,Pembroke's Men,,1592,1591,1593,3,1594,History,W&R,Adult Professional,17437,,197,17437,"2,514",124,primary
Titus Andronicus,928,TitusAndronicus_1594,Shakespeare and Peele,Derby's (Strange's) Men; Pembroke's Men; Sussex's Men,,1592,1584,1594,11,1594,Tragedy,W&R,Adult Professional,22328,Q1,171,22328,"2,372",57,primary
Titus Andronicus F,928,TitusAndronicus_1623,Shakespeare and Peele,Derby's (Strange's) Men; Pembroke's Men; Sussex's Men,,1592,1584,1594,11,1623,Tragedy,W&R,Adult Professional,22328,Q1,171,22328,"2,372",57,alternative
Knack to Know a Knave,930,KnacktoKnowaKnave_1594,Uncertain,Derby's (Strange's) Men,,1592,,,1,1594,Comedy,W&R,Adult Professional,15027,,168,15027,"1,173",691,primary
Summer's Last Will and Testament,941,SummersLastWillandTestament_1600,Nashe Thomas,Children of the Chapel (first),,1592,,,1,1600,Comedy,W&R,Boys Professional,18376,,305,18376,"1,189",696,primary
Comedy of Errors,944,ComedyofErrors_SilentReg_1623,Shakespeare William,Derby's (Strange's) Men,,1594,1589,1593,5,1623,Comedy,W&R,Adult Professional,22273,F1,5081.05,22273,"1,507",257,primary
Massacre at Paris,947,MassacreatParis_1594,Marlowe Christopher,Admiral's (Nottingham's) Men,,1593,1589,1593,5,1594,Foreign History,W&R,Adult Professional,17423,,207,17423,"1,040",272,primary
Cleopatra,949,Cleopatra_V_1607,Daniel Samuel,NA,,1593,1590,1593,4,1607,Tragedy,W&R,Closet,6240,,5064.02,6240,"1,737",0,primary
Richard III F,950,Richard_3_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1592,1591,1597,7,1623,History,W&R,Adult Professional,22314,Q1,225,22314,"3,243",150,alternative
Richard the Third,950,RichardIII_1597,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1592,1591,1597,7,1597,History,W&R,Adult Professional,22314,Q1,225,22314,"3,243",150,primary
Reign of King Edward the Third,952,EdwardIII_1596,Uncertain,Admiral's (Nottingham's) Men,,1590,1590,1594,5,1596,History,W&R,Adult Professional,7501,,215,7501,"2,463",28,primary
Cornelia,954,Cornelia_1594,Kyd Thomas,NA,,1594,,,1,1594,Tragedy,W&R,Closet (?) Translation,11622,,169,11622,"2,037",0,primary
Taming of a Shrew,955,TamingofaShrew_1594,Uncertain,Pembroke's Men,,1592,1592,1594,3,1594,Comedy,W&R,Adult Professional,23667,,181,23667,"1,102",415,primary
Knack to Know an Honest Man,969,KnacktoKnowanHonestMan_1596,Uncertain,Admiral's (Nottingham's) Men,,1594,,,1,1596,Tragicomedy,W&R,Adult Professional,15028,,214,15028,"1,422",264,primary
Two Gentlemen of Verona,970,TwoGentlemenofVerona_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1590,1587,1598,12,1623,Comedy,W&R,Adult Professional,22273,F1,5081.02,22273,"1,623",579,primary
Romeo and Juliet,987,RomeoandJuliet_1599,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1593,1596,4,1599,Tragedy,W&R,Adult Professional,22323,Q2,234,22323,"2,570",396,primary
Romeo and Juliet F,987,RomeoandJuliet_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1593,1596,4,1623,Tragedy,W&R,Adult Professional,22323,Q2,234,22323,"2,570",396,alternative
Romeo and Juliet Q1,987,RomeoandJuliet_1597,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1593,1596,4,1597,Tragedy,W&R,Adult Professional,22323,Q2,234,22323,"2,570",396,alternative
Romeo and Juliet Q3,987,RomeoAndJuliet_1609_Q3,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1593,1596,4,1609,Tragedy,W&R,Adult Professional,22323,Q2,234,22323,"2,570",396,alternative
Richard II F,1002,RichardII_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1595,1597,3,1623,History,W&R,Adult Professional,22307,Q1,217,22307,"2,713",38,alternative
Richard II Q3,1002,RichardII_1598_Q3,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1595,1597,3,1598,History,W&R,Adult Professional,22307,Q1,217,22307,"2,713",38,alternative
Richard the Second,1002,RichardII_1597,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1595,1597,3,1597,History,W&R,Adult Professional,22307,Q1,217,22307,"2,713",38,primary
Midsummer Night's Dream,1012,MidSummerNightsDream_1600,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1594,1598,5,1600,Comedy,W&R,Adult Professional,22302,Q1,297,22302,"1,720",396,primary
Midsummer Night's Dream F,1012,MidsummerNightsDream_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1594,1598,5,1623,Comedy,W&R,Adult Professional,22302,Q1,297,22302,"1,720",396,alternative
Two Lamentable Tragedies,1015,TwoLamentableTragedies_1601,Yarington Robert,Admiral's (Nottingham's) Men,,1594,1594,1598,5,1601,Tragedy,W&R,Adult Professional,26076,,322,26076,"2,551",63,primary
Love's Labor's Lost,1031,LovesLaboursLost_1598,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1594,1597,4,1598,Comedy,W&R,Adult Professional,22294,Q1,256,22294,"1,719",860,primary
Love's Labour's Lost F,1031,LovesLaboursLost_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1595,1594,1597,4,1623,Comedy,W&R,Adult Professional,22294,Q1,256,22294,"1,719",860,alternative
Blind Beggar of Alexandria,1032,BlindBeggar_1598,Chapman George,Admiral's (Nottingham's) Men,,1596,,,1,1598,Comedy,W&R,Adult Professional,4965,,249,4965,"1,138",437,primary
Mustapha,1041,Mustapha_SilentReg_1609,Greville Fulke,NA,,1596,1594,1600,7,1609,Tragedy,W&R,Closet,12362,,536,12362,"1,875",0,primary
King John,1043,KingJohn_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1596,1594,1598,5,1623,History,W&R,Adult Professional,22273,F1,5081.15,22273,"2,563",6,primary
Merchant of Venice,1047,MerchantofVenice_1600,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1596,1596,1598,3,1600,Comedy,W&R,Adult Professional,22296,Q1,301,22296,"1,971",503,primary
Merchant of Venice F,1047,MerchantofVenice_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1596,1596,1598,3,1623,Comedy,W&R,Adult Professional,22296,Q1,301,22296,"1,971",503,alternative
Captain Thomas Stukeley,1049,CaptainThomasStukeley_1605,Uncertain,Admiral's (Nottingham's) Men,,1596,,,1,1605,History,W&R,Adult Professional,23405,,408,23405,"2,347",400,primary
1 Henry IV F,1059,1HenryIV_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1597,1596,1597,2,1623,History,W&R,Adult Professional,22279a,Q1,240,22279a,"1,648","1,140",alternative
1 Henry the Fourth,1059,1HenryIV_1598,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1597,1596,1597,2,1598,History,W&R,Adult Professional,22279a,Q1,240,22279a,"1,648","1,140",primary
Edmond Ironside,1064,EdmondIronside_1927,Uncertain,Uncertain,,1597,1593,1603,11,1927,History,W&R,Adult Professional,Malone Soc,,NA,Malone Soc,"1,768",175,primary
Case Is Altered,1072,CaseIsAltered_SilentReg_1609,Jonson Ben,Children of the Queen's Revels,,1597,,,1,1609,Comedy,W&R,Boys Professional,14757,,541,14757,"1,280","1,076",primary
Humorous Day's Mirth,1073,HumorousDaysMirth_1599,Chapman George,Admiral's (Nottingham's) Men,,1597,,,1,1599,Comedy,W&R,Adult Professional,4987,,278,4987,656,"1,047",primary
Merry Wives of Windsor,1079,MerryWives_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1597,1597,1602,6,1623,Comedy,W&R,Adult Professional,22273,F1,5081.03,22273,335,"2,324",primary
Merry Wives of Windsor Q1,1079,MerryWives_1602,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1597,1597,1602,6,1602,Comedy,W&R,Adult Professional,22273,F1,5081.03,22273,335,"2,324",alternative
Warning for Fair Women,1080,WarningforFairWomen_1599,Uncertain,Lord Chamberlain's (Hunsdon's) Men,,1599,1595,1599,5,1599,Tragedy,W&R,Adult Professional,25089,,274,25089,"2,098",348,primary
2 Henry IV F,1083,2 HenryIV_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1597,1596,1600,5,1623,History,W&R,Adult Professional,22288,Q1,293,22288,"1,567","1,488",alternative
2 Henry the Fourth,1083,2HenryIV_1600_QB,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1597,1596,1600,5,1600,History,W&R,Adult Professional,22288,Q1,293,22288,"1,567","1,488",primary
Downfall of Robert Earl of Huntingdon,1106,DownfallofRobertEarlofHuntington_1601,Munday and Chettle,Admiral's (Nottingham's) Men,,1598,,,1,1601,History,W&R,Adult Professional,18271,,318,18271,"2,433",188,primary
Death of Robert Earl of Huntingdon,1107,DeathofRobertEarlofHuntington_1601,Munday and Chettle,Admiral's (Nottingham's) Men,,1598,,,1,1601,History,W&R,Adult Professional,18269,,319,18269,"2,735",87,primary
Englishmen for My Money,1120,EnglishmenforMyMoney_1616,Haughton William,Admiral's (Nottingham's) Men,,1598,,,1,1616,Comedy,W&R,Adult Professional,12931,,642,12931,"1,637",917,primary
Every Man in His Humor,1143,EveryManInHisHumour_SilentReg_1601,Jonson Ben,Lord Chamberlain's (Hunsdon's) Men,,1598,,,1,1601,Comedy,W&R,Adult Professional,14766,,313,14766,648,"2,273",primary
Every Man in His Humour F,1143,EveryManIn_1616_v2,Jonson Ben,Lord Chamberlain's (Hunsdon's) Men,,1598,,,1,1616,Comedy,W&R,Adult Professional,14766,,313,14766,648,"2,273",alternative
Much Ado About Nothing,1148,MuchAdoAboutNothing_1600,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1598,,,1,1600,Comedy,W&R,Adult Professional,22304,Q1,295,22304,727,"1,769",primary
Much Ado About Nothing F,1148,MuchAdoAboutNothing_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1598,,,1,1623,Comedy,W&R,Adult Professional,22304,Q1,295,22304,727,"1,769",alternative
Virtuous Octavia,1150,VirtuousOctavia_1598,Brandon Samuel,NA,,1598,,,1,1598,Tragicomedy,W&R,Closet,3544,,250,3544,"2,340",0,primary
1 Two Angry Women of Abingdon,1151,1TwoAngryWomenofAbingdon_1599,Porter Henry,Admiral's (Nottingham's) Men,,1598,,,1,1599,Comedy,W&R,Adult Professional,20121.5,,281,20121.5,"1,887","1,083",primary
Henry the Fifth,1183,HenryV_1623,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1599,,,1,1623,History,W&R,Adult Professional,22273,F1,5081.19,22273,"1,878","1,335",primary
Henry V Q1,1183,HenryV_1600,Shakespeare William,Lord Chamberlain's (Hunsdon's) Men,,1599,,,1,1600,History,W&R,Adult Professional,22273,F1,5081.19,22273,"1,878","1,335",alternative
Look About You,1184,LookAboutYou_1600,Uncertain,Admiral's (Nottingham's) Men,,1599,1598,1600,3,1600,Comedy,W&R,Adult Professional,16799,,306,16799,"2,421",589,primary
