Title,W&R_ID,Filename,Author,Company of First Production,Place_of_first_production,Date,earliest,latest,span,Date_of_publication,Genre,Metadata_source,Play-type,STC_or_WING,Version,DEEP_ID,STC-Wing,verse,prose,Primary_alternative
Wonder of Women,1485,WonderofWomen_SilentReg_1606,Marston John,Children of the Queen's Revels,,1605,1605,1606,2,1606,Tragedy,W&R,Boys Professional,17488,,428,17488,"1,581",10,primary
King Lear,1486,KingLear_1608,Shakespeare William,King's Men,,1605,1605,1606,2,1608,Tragedy,W&R,Adult Professional,22292,Q1,517,22292,"2,263",756,primary
King Lear F,1486,KingLear_1623,Shakespeare William,King's Men,,1605,1605,1606,2,1623,Tragedy,W&R,Adult Professional,22292,Q1,517,22292,"2,263",756,alternative
Isle of Gulls,1491,IsleofGulls_1606,Day John,Children of the Queen's Revels,,1606,1605,1606,2,1606,Comedy,W&R,Boys Professional,6412,,442,6412,366,"1,783",primary
Volpone,1493,Volpone_SilentReg_1607,Jonson Ben,King's Men,,1606,1605,1606,2,1607,Comedy,W&R,Adult Professional,14783,,504,14783,"2,941",154,primary
Fleer,1495,Fleer_1607,Sharpham Edward,Children of the Queen's Revels,,1606,,,1,1607,Comedy,W&R,Boys Professional,22384,,495,22384,113,"1,880",primary
Macbeth,1496,Macbeth_SilentReg_1623,Shakespeare & Middleton,King's Men,,1606,1606,1611,6,1623,Tragedy,W&R,Adult Professional,22273,F1,5081.31,22273,"1,955",211,primary
Whore of Babylon,1500,WhoreofBabylon_1607,Dekker Thomas,Prince Henry's Men,,1606,1606,1607,2,1607,Allegorical History,W&R,Adult Professional,6532,,460,6532,"2,153",249,primary
Puritan,1509,Puritan_1607,Middleton Thomas,Children of Paul's (second),,1606,1606,1607,2,1607,Comedy,W&R,Boys Professional,21531,,489,21531,181,"1,814",primary
Antony and Cleopatra,1517,AntonyandCleopatra_1623,Shakespeare William,King's Men,,1606,1606,1607,2,1623,Tragedy,W&R,Adult Professional,22273,F1,5081.35,22273,"2,667",342,primary
Revenger's Tragedy,1520,RevengersTragedy_SilentReg_1607,Middleton Thomas,King's Men,,1606,1604,1607,4,1607,Tragedy,W&R,Adult Professional,24149,,491,24149,"2,086",361,primary
Miseries of Enforced Marriage,1521,MiseriesofEnforcedMarriage_1607,Wilkins George,King's Men,,1606,1605,1607,3,1607,Domestic Drama,W&R,Adult Professional,25635,,484,25635,"1,187","1,610",primary
Woman Hater,1522,WomanHater_1607,Beaumont Francis,Children of Paul's (second),,1606,1604,1607,4,1607,Comedy,W&R,Boys Professional,1692,,468,1692,782,"1,968",primary
Cupid's Whirligig,1527,CupidsWhirligig_1607,Sharpham Edward,Children of the King's Revels,,1607,,,1,1607,Comedy,W&R,Boys Professional,22380,,478,22380,254,"2,497",primary
Your Five Gallants,1528,YourFiveGallants_SilentReg_1608,Middleton Thomas,Children of Paul's (second),,1607,1605,1608,4,1608,Comedy,W&R,Boys Professional,17907,,520,17907,621,"1,772",primary
Family of Love,1529,FamilyofLove_1608,Middleton Thomas,Children of the King's Revels,,1603,1606,1607,2,1608,Comedy,W&R,Boys Professional,17879,,509,17879,474,"1,861",primary
Every Woman in Her Humor,1532,EveryWomaninHerHumour_1609,Uncertain,Children of the King's Revels,,1607,1606,1608,3,1609,Comedy,W&R,Boys Professional,25948,,545,25948,503,"1,644",primary
Cupid's Revenge,1533,CupidsRevenge_1615,Beaumont and Fletcher,Children of the Queen's Revels,,1608,1606,1611,6,1615,Tragedy,W&R,Boys Professional,1667,,620,1667,"1,572","1,102",primary
Timon of Athens,1536,TimonofAthens_SilentReg_1623,Shakespeare William; Middleton Thomas,Unknown,,1605,1605,1608,4,1623,Tragedy,W&R,Adult Professional (?); Unacted (?),22273,F1,5081.29,22273,"1,574",719,primary
Pericles,1555,Pericles_1609,Shakespeare and Wilkins,King's Men,,1607,1606,1608,3,1609,Tragicomedy,W&R,Adult Professional,22334,Q1,546,22334,"1,840",469,primary
Turk,1557,Turk_1610,Mason John,Children of the King's Revels,,1607,1607,1608,2,1610,Tragedy,W&R,Boys Professional,17617,,553,17617,"1,791",362,primary
Rape of Lucrece,1558,RapeofLucrece_1638,Heywood Thomas,Queen Anne's Men,,1607,1607,1608,2,1638,Tragedy,W&R,Adult Professional,13363,,529,13363,"1,773",719,primary
Humor Out of Breath,1559,HumourOutofBreath_1608,Day John,Children of the King's Revels,,1608,1606,1608,3,1608,Comedy,W&R,Boys Professional,6411,,522,6411,675,"1,017",primary
Knight of the Burning Pestle,1562,KnightofBurningPestle_SilentReg_1613,Beaumont Francis,Children of the Queen's Revels,,1607,1607,1607,1,1613,Burlesque Romance,W&R,Boys Professional,1674,,604,1674,"1,293","1,151",primary
Dumb Knight,1563,DumbKnight_1608,Markham and Machin,Children of the King's Revels,,1608,1607,1608,2,1608,Comedy,W&R,Boys Professional,17399,,532,17399,"1,659",543,primary
Ram Alley,1572,RamAlley_1611,Barry Lording,Children of the King's Revels,,1608,1607,1608,2,1611,Comedy,W&R,Boys Professional,1502,,562,1502,"2,526",44,primary
Conspiracy of Charles Duke of Byron,1575,ByronsConspiracy_1608,Chapman George,Children of the Queen's Revels,,1608,1607,1608,2,1608,Tragedy,W&R,Boys Professional,4968,,5069.01,4968,"1,966",91,primary
Tragedy of Charles Duke of Byron,1576,ByronsTragedy_1608,Chapman George,Children of the Queen's Revels,,1608,1607,1608,2,1608,Tragedy,W&R,Boys Professional,4968,,5069.02,4968,"2,257",44,primary
Two Maids of More-Clacke,1577,TwoMaidsofMore-Clack_1609,Armin Robert,Children of the King's Revels,,1606,1607,1608,2,1609,Comedy,W&R,Boys Professional,773,,552,773,"1,603",736,primary
Faithful Shepherdess,1582,FaithfulShepherdess_1610,Fletcher John,Children of the Queen's Revels,,1608,1607,1608,2,1610,Pastoral,W&R,Boys Professional,11068,,555,11068,"2,637",0,primary
Coriolanus,1589,Coriolanus_SilentReg_1623,Shakespeare William,King's Men,,1608,1607,1609,3,1623,Tragedy,W&R,Adult Professional,22273,F1,5081.26,22273,"2,479",887,primary
Philaster,1597,Philaster_1620_v2,Beaumont and Fletcher,King's Men,,1609,1608,1610,3,1620,Tragicomedy,W&R,Adult Professional,1681,,677,1681,"1,867",739,primary
Epicene,1603,Epicene_SilentReg_1616,Jonson Ben,Children of the Queen's Revels,,1610,1609,1610,2,1616,Comedy,W&R,Boys Professional,14751,,5074.13,14751,71,"2,923",primary
Insatiate Countess,1605,InsatiateCountess_1613,Marston and Barkstead,Children of the Queen's Revels,,1607,1608,1613,6,1613,Tragedy,W&R,Boys Professional,17476,,599,17476,"1,814",670,primary
1 Fair Maid of the West,1607,1FairMaidoftheWest_1631,Heywood Thomas,Queen Henrietta Maria's Men,,1604,1609,1611,3,1631,Comedy,W&R,Adult Professional,13320,,773,13320,"1,379",454,primary
Woman's Prize,1609,WomansPrize_1647,Fletcher John,unknown,,1611,1607,1611,5,1647,Comedy,W&R,Adult Professional,B1581,,5143.24,B1581,"2,551",157,primary
Revenge of Bussy D'Ambois,1612,RevengeofBussy_SilentReg_1613,Chapman George,Children of the Queen's Revels,,1610,1609,1612,4,1613,Tragedy,W&R,Boys Professional,4989,,585,4989,"2,384",19,primary
Amends for Ladies,1615,AmendsforLadies_1618,Field Nathan,Lady Elizabeth's Men; Prince Charles's Men (first),,1611,1610,1611,2,1618,Comedy,W&R,Adult Professional,10851,,657,10851,"1,185",934,primary
Alchemist,1621,Alchemist_SilentReg_1612,Jonson Ben,King's Men,,1610,,,1,1612,Comedy,W&R,Adult Professional,14755,,579,14755,"3,047",22,primary
Cymbeline,1623,Cymbeline_1623,Shakespeare William,King's Men,,1610,1609,1611,3,1623,Tragicomedy,W&R,Adult Professional,22273,F1,5081.36,22273,"2,850",396,primary
Atheist's Tragedy,1625,AtheistsTragedy_SilentReg_1611,Tourneur Cyril,King's Men,,1611,1610,1611,2,1611,Tragedy,W&R,Adult Professional,24146,,565,24146,"1,906",674,primary
Valiant Welshman,1630,ValiantWelshman_1615,Uncertain,Prince Henry's Men,,1612,1610,1612,3,1615,History,W&R,Adult Professional,16,,619,16,"1,731",349,primary
